"Part";"Value";"Device";"Package";"Description";"";
"C1";".1uF";"C025-024X044";"C025-024X044";"CAPACITOR, American symbol";"";
"C2";"10uF";"C-POLRADIAL-5MM-DIA";"CAP-1P-5D";"Capacitor Polarised - ANSI";"";
"C5";".1uF";"C025-024X044";"C025-024X044";"CAPACITOR, American symbol";"";
"C6";"10uF";"C-POLRADIAL-5MM-DIA";"CAP-1P-5D";"Capacitor Polarised - ANSI";"";
"D1";"LED-WS2812B";"LED-WS2812B";"WS2812B_TH";"";"";
"D2";"LED-WS2812B";"LED-WS2812B";"WS2812B_TH";"";"";
"D3";"BAS16HT3G";"DIODEBAS16HT3G";"SOD-323";"Diode";"";
"D4";"BAT760-7SOD323";"BAT760-7SOD323";"SOD-323";"Diode Schottky 30V 1A 2Pin SOD323 Diodes Inc BAT760-7, SMT Schottky Diode, 30V 1A, 2-Pin SOD-323";"";
"J1";"AK550-2";"AK550-2";"AK550/2";"3.5mm pitch wire to baord connector";"";
"J2";"SENSOR";"PINHD-1X3";"1X03";"PIN HEADER";"";
"J3";"SERVO_1";"PINHD-1X3";"1X03";"PIN HEADER";"";
"J4";"SERVO_2";"PINHD-1X3";"1X03";"PIN HEADER";"";
"J5";"D6";"PINHD-1X1";"1X01";"PIN HEADER";"";
"J7";"D2";"PINHD-1X1";"1X01";"PIN HEADER";"";
"J8";"D0";"PINHD-1X1";"1X01";"PIN HEADER";"";
"J9";"DOUT";"PINHD-1X1";"1X01";"PIN HEADER";"";
"J10";"NEUTRAL";"PINHD-1X11X-3MM";"1X-3MM";"PIN HEADER";"";
"J11";"LOAD";"PINHD-1X11X-3MM";"1X-3MM";"PIN HEADER";"";
"JP1";"ADDR";"HEADER-1X570MIL";"1X05_ROUND_70";"PIN HEADER";"";
"JP2";"GPA";"HEADER-1X870MIL";"1X08_ROUND_70";"PIN HEADER";"";
"JP4";"COM1";"PINHD-1X11X-3MM";"1X-3MM";"PIN HEADER";"";
"JP5";"I2C";"HEADER-1X570MIL";"1X05_ROUND_70";"PIN HEADER";"";
"JP6";"GPB";"HEADER-1X870MIL";"1X08_ROUND_70";"PIN HEADER";"";
"JP7";"";"HEADER-1X870MIL";"1X08_ROUND_70";"PIN HEADER";"";
"JP8";"";"HEADER-1X870MIL";"1X08_ROUND_70";"PIN HEADER";"";
"JP10";"NO";"PINHD-1X11X-3MM";"1X-3MM";"PIN HEADER";"";
"K1";"PR24-5V-900-1A";"PR24-5V-900-1A";"RELAY_PR24-5V-900-1A";"Power relay, 40A, Normally Open";"";
"MOV1";"MOV20D331K";"MOV20D331K";"MOV-20D331K";"";"";
"P1";"AK550-2";"AK550-2";"AK550/2";"3.5mm pitch wire to baord connector";"";
"PS1";"IRM-10-5";"IRM-10-5";"IRM-10";"AC/DC Power Modules 5V 2A 10W";"";
"Q1";"MMBT3904IDR";"MMBT3904IDR";"SOT95P240X120-3N";"MMBT3904 Transistor BJT NPN 40V 0.2A 3-Pin SOT-23";"";
"R1";"220";"RESISTOR_SMD1206-RES";"1206";"Resistor";"";
"R2";"220";"RESISTOR_SMD1206-RES";"1206";"Resistor";"";
"SW1";"SWITCH-5-WAY";"SWITCH-5-WAY";"5-WAY-SWITCH";"";"";
"U$1";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";
"U$17";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";
"U$19";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";
"U$21";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"";
"U1";"UC-XIAO-THRUHOLEHYBRID-SMT-THT";"UC-XIAO-THRUHOLEHYBRID-SMT-THT";"XIAO-GENERIC-HYBRID-MODULE14P-2.54-21X17.8MM";"Seeed Studio XIAO Series Through-hole Footprint and Symbol";"";
"U2";"OLED-0.96-I2C-128X64";"OLED-0.96-I2C-128X64";"OLED-0.96-I2C";"";"";
"U3";"FNWW";"LOGO-FNWW";"FNWW-FACE";"";"";
"U4";"LTV-817S";"LTV-817S";"LTV-817S";"SMD Optoisolator, Vf=1.4, If=50mA, Isolation 5000 Vrms";"";
"U5";"LOGO-FNWWWHITE";"LOGO-FNWWWHITE";"FNWW-WHITE";"";"";
